timestamp,open,high,low,close
2024-05-13 09:30:00,18228.4,18233.5,18204.06,18204.16
2024-05-13 09:35:00,18203.35,18220.72,18191.5,18191.83
2024-05-13 09:40:00,18192.86,18195.7,18171.76,18179.4
2024-05-13 09:45:00,18179.59,18179.59,18158.44,18167.39
2024-05-13 09:50:00,18168.12,18184.48,18165.67,18184.48
2024-05-13 09:55:00,18184.2,18195.64,18165.1,18195.24
2024-05-13 10:00:00,18194.7,18203.35,18188.06,18202.95
2024-05-13 10:05:00,18203.02,18204.57,18193.25,18199.36
2024-05-13 10:10:00,18199.23,18200.0,18190.72,18198.3
2024-05-13 10:15:00,18198.11,18207.97,18197.81,18201.86
2024-05-13 10:20:00,18201.77,18213.22,18197.58,18212.88
2024-05-13 10:25:00,18213.11,18214.93,18207.96,18210.59
2024-05-13 10:30:00,18210.75,18210.75,18187.55,18196.87
2024-05-13 10:35:00,18197.18,18204.39,18194.48,18200.04
2024-05-13 10:40:00,18199.69,18201.02,18189.43,18195.18
2024-05-13 10:45:00,18194.95,18207.4,18193.67,18205.99
2024-05-13 10:50:00,18205.21,18206.8,18197.83,18203.21
2024-05-13 10:55:00,18203.19,18205.7,18196.84,18199.99
2024-05-13 11:00:00,18200.14,18201.91,18187.79,18195.64
2024-05-13 11:05:00,18195.07,18203.35,18194.13,18202.25
2024-05-13 11:10:00,18202.25,18213.16,18202.25,18211.33
2024-05-13 11:15:00,18211.24,18212.44,18199.85,18202.18
2024-05-13 11:20:00,18202.43,18202.82,18191.03,18198.4
2024-05-13 11:25:00,18198.42,18198.42,18183.01,18186.67
2024-05-13 11:30:00,18186.99,18193.31,18170.98,18190.23
2024-05-13 11:35:00,18190.32,18191.02,18184.16,18189.64
2024-05-13 11:40:00,18189.78,18190.11,18184.8,18186.08
2024-05-13 11:45:00,18186.13,18190.83,18185.66,18188.59
2024-05-13 11:50:00,18188.59,18199.15,18188.36,18199.13
2024-05-13 11:55:00,18199.39,18199.39,18194.36,18197.42
2024-05-13 12:00:00,18197.42,18205.4,18197.22,18203.24
2024-05-13 12:05:00,18203.23,18209.89,18202.72,18208.03
2024-05-13 12:10:00,18207.91,18208.32,18201.97,18202.57
2024-05-13 12:15:00,18202.6,18205.64,18200.05,18203.88
