Date,Time,Open,High,Low,Close,Volume
2024.01.29,9:30,17436.75,17446.13,17432.25,17445,823
2024.01.29,10:00,17445.75,17452.88,17429.5,17452.5,1193
2024.01.29,10:30,17453.13,17472.25,17452.38,17470.25,1103
2024.01.29,11:00,17469.5,17479,17432.13,17442.5,1259
2024.01.29,11:30,17443.38,17449.13,17428.5,17435.25,1062
2024.01.29,12:00,17434.75,17451,17431.75,17448,964
2024.01.29,12:30,17447.75,17460.5,17439.5,17451.5,906
2024.01.29,13:00,17452.13,17459.5,17444.5,17457.75,851
2024.01.29,13:30,17457.5,17462.25,17449.25,17455.25,866
2024.01.29,14:00,17456,17466.13,17450,17459.25,1023
2024.01.29,14:30,17459.5,17459.75,17434.88,17443.25,1075
2024.01.29,15:00,17442.38,17454.38,17433.25,17438.75,1222
2024.01.29,15:30,17438.63,17438.75,17426.25,17433.88,1152
2024.01.29,16:00,17434.5,17442,17422.75,17436.13,1154
2024.01.29,16:30,17436,17473.75,17418.25,17448.25,10871
2024.01.29,17:00,17448.75,17461.92,17416.63,17440.18,7178
2024.01.29,17:30,17440.67,17453.22,17415.9,17418.16,6460
2024.01.29,18:00,17418.66,17449.19,17408.79,17446.57,4710
2024.01.29,18:30,17446.94,17469.48,17442.69,17468.06,3154
2024.01.29,19:00,17468.43,17495.74,17463.57,17483.01,3058
2024.01.29,19:30,17483.38,17497.76,17470.75,17485.91,3277
2024.01.29,20:00,17486.41,17488.76,17467.57,17485.54,3034
2024.01.29,20:30,17485.91,17492.81,17474.66,17477.12,2362
2024.01.29,21:00,17477.49,17512.02,17472.66,17506.18,2428
2024.01.29,21:30,17506.56,17521.27,17503.06,17513.79,2395
2024.01.29,22:00,17514.29,17603.09,17514.29,17591.29,5960
2024.01.29,22:30,17591.66,17600.7,17568.36,17595.51,4579
2024.01.29,23:00,17595.26,17597.61,17575.05,17591.47,1273
2024.01.29,23:30,17591.23,17594.34,17586.92,17588.19,816
2024.01.30,1:00,17590.21,17616.43,17586.49,17614.45,991
2024.01.30,1:30,17616.44,17617.18,17602.33,17607.82,721
2024.01.30,2:00,17608.07,17618.66,17597.05,17616.07,943
2024.01.30,2:30,17615.82,17621.78,17612.4,17614.89,818
2024.01.30,3:00,17614.15,17617.27,17592.5,17599.82,1027
2024.01.30,3:30,17599.57,17602.48,17589.28,17598.64,911
2024.01.30,4:00,17597.9,17598.95,17592.45,17596.23,791
2024.01.30,4:30,17596.72,17605.82,17596.23,17604.71,695
2024.01.30,5:00,17604.46,17609.61,17600.52,17607.25,656
2024.01.30,5:30,17608,17608,17595.78,17597.02,632
2024.01.30,6:00,17596.9,17602.26,17596.53,17600.93,513
2024.01.30,6:30,17600.8,17604.42,17597.24,17599.26,558
2024.01.30,7:00,17600,17608.87,17598.26,17608.25,563
2024.01.30,7:30,17608.74,17615.35,17605.56,17610.06,774
2024.01.30,8:00,17610.68,17613.78,17587.91,17594.55,793
2024.01.30,8:30,17594.56,17599.47,17589.76,17593.75,768
2024.01.30,9:00,17594,17595,17564.63,17572.75,1174
